"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"ANMOL RESTAURANT","711 W HISTORIC MITCHELL ST","12","11/12/2018","B"
"RISE AND GRIND CAFE & MARKET","2737 N MARTIN L KING JR DR","6","11/12/2018","A"
"PACIFIC ORIENT","5032 W BURLEIGH ST","7","11/09/2018","A"
"CLARK","3100 S 60TH ST","11","11/09/2018","A"
"ALDI'S #40","5811 W OKLAHOMA AV","11","11/09/2018","A"
"BARTOLOTTA CATERING & EVENTS AT THE ITALIAN COMMUNITY CENTER","631 E CHICAGO ST","4","11/09/2018","A"
"CAFE LA SCALA","631 E CHICAGO ST","4","11/09/2018","A"
"PAPA MURPHY'S","3027 S 60TH ST","11","11/09/2018","A"
"MAXIE'S","6732 W FAIRVIEW AV","10","11/09/2018","A"
"APPLETON EXPRESS MART","7650 W APPLETON AV","5","11/09/2018","A"
"PIZZA HUT","3923 S 76TH ST","11","11/09/2018","A"
"LA FORTALEZA GROCERY","1610 S 7TH ST","12","11/09/2018","A"
"DOLLAR TREE #671","3700 S 27TH ST","13","11/09/2018","A"
"STARBUCKS COFFEE #2512","326 N WATER ST","4","11/09/2018","A"
"SWINGIN DOOR EXCHANGE","219 E MICHIGAN ST","4","11/07/2018","A"
"MAMIE'S","3300 W NATIONAL AV","8","11/07/2018","A"
"QDOBA MEXICAN GRILL","1150 N WATER ST","4","11/06/2018","A"
"ELOTES FRUTAS AGUS #0534","830 W GREENFIELD AV","12","11/06/2018","MA"
"CITGO MART","3425 W SILVER SPRING DR","1","11/05/2018","A"
"MCBOBS PUB & GRILL","5513 W NORTH AV","10","11/02/2018","A"
"DOLLAR TREE #671","3700 S 27TH ST","13","11/02/2018","A"
"DOLLAR TREE #06530","4331 W OKLAHOMA AV","11","11/02/2018","A"
"BATCHES","401 E ERIE ST","4","11/02/2018","A"
"BRASS KEY RESTAURANT","4952 W FOREST HOME AV","11","11/02/2018","A"
"BRUNCH","800 N PLANKINTON AV","4","11/02/2018","A"
"MISS MOLLY'S PASTRIES","9201 W CENTER ST","5","11/02/2018","A"
"HILTON MILWAUKEE CITY CENTER-MILLER TIME PUB","509 W WISCONSIN AV","4","11/01/2018","A"
"HILTON MILWAUKEE CITY CENTER- THIRD FLOOR","509 W WISCONSIN AV","4","11/01/2018","A"
"HILTON MILWAUKEE CITY CENTER- CAFE & MILWAUKEE CHOPHOUSE","509 W WISCONSIN AV","4","11/01/2018","A"
"THE CAPITAL GRILLE OF MILWAUKEE #8027","310 W WISCONSIN AV","4","11/01/2018","A"
"THE HOUSE OF CORNED BEEF","5201 W SILVER SPRING DR","1","11/01/2018","A"
"MILW LODGE 49 LOYAL ORDER OF MOOSE","5476 S 13TH ST","13","11/01/2018","A"
"CINCO DE MAYO FIESTA #0899","8412 W MORGAN AV","11","10/31/2018","MA"
"PICK N SAVE #6418","7401 W GOOD HOPE RD","9","10/30/2018","A"
"EL SALVADOR RESTAURANT","2316 S 6TH ST","14","10/30/2018","A"
"BARTOLOTTA CATERING- GRAIN EXCHANGE","225 E MICHIGAN ST","4","10/29/2018","A"
"FIRE ON WATER","518 N WATER ST","4","10/29/2018","A"
"SUBWAY","1200 N VAN BUREN ST","4","10/29/2018","A"
"STARBUCKS #29713","720 W WISCONSIN AV","4","10/29/2018","A"
"DUNKIN DONUTS","151 W LAYTON AV","13","10/29/2018","A"
"STELLA J'S","7434 W CAPITOL DR","2","10/26/2018","A"
"HI HAT LOUNGE & GARAGE","1701 N ARLINGTON PL","3","10/26/2018","A"
"REAL CHILI","1625 W WELLS ST","4","10/26/2018","A"
"CVS PHARMACY #8769","5929 W LISBON AV","10","10/26/2018","A"
"CVS PHARMACY #1267","7550 W PERKINS PL","2","10/26/2018","A"
"KENTUCKY FRIED CHICKEN","5444 N LOVERS LANE RD","5","10/26/2018","A"
"PRODUCTION KITCHEN","1611 W CANAL ST","8","10/26/2018","A"
"FIRE PIT GRILL- POTAWATOMI BINGO CASINO/ POTAWATOMI CASINO","1611 W CANAL ST","8","10/26/2018","A"
"RUYI (JAMAICA JAMAICA GROCERY) POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL","1611 W CANAL ST","8","10/26/2018","A"
"SOLSTICE- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL","1611 W CANAL ST","8","10/26/2018","A"
"CASINO BANQUETS- POTAWATOMI CASINO","1611 W CANAL ST","8","10/26/2018","A"
"LISBANI AFRICAN MARKET","8333 W APPLETON AV","5","10/26/2018","A"
"MILWAUKEE INSTITUTE OF ART AND DESIGN, INC.","273 E ERIE ST","4","10/26/2018","A"
"CHAMPION CHICKEN","8718 W LISBON AV","5","10/26/2018","B"
"ST PAUL CONGREGATION","3945 S KANSAS AV","14","10/25/2018","A"
"LA MICHOACANA PLUS LLC","1224 S CESAR E CHAVEZ DR","12","10/25/2018","A"
"PETER SCIORTINO BAKERY","1101 E BRADY ST","3","10/25/2018","A"
